"","AGN","lgm_tot_p50","sfr_tot_p50","color_gr","Galaxy","type"
"799","No",-0.713386352159705,1.17975499390355,-1.04207354782736,"S","Before PSM"
"801","No",-0.8665283400625,1.4516840822635,-1.05897364880163,"S","Before PSM"
"806","Yes",-0.432964604760592,-0.87957441906967,0.310274358073512,"S","Before PSM"
"815","Yes",1.05755475126577,0.335773014160846,0.906855023347354,"S","Before PSM"
"854","No",-0.327272074602379,1.01335626113893,-0.0674926048803527,"S","Before PSM"
"857","No",0.613136763010151,-1.12829251314908,0.742773910947296,"S","Before PSM"
"878","No",0.911264889529288,1.10168852291499,0.401211305962887,"S","Before PSM"
"915","No",1.67318493625215,-0.977577301587569,0.64708951572544,"E","Before PSM"
"933","No",3.22561598091393,-0.657942427068058,0.625178220344649,"E","Before PSM"
"936","No",-1.29026867324987,1.59073291543007,-2.39533949642826,"S","Before PSM"
"949","Yes",0.0683320945038642,-0.0290060438217203,0.44369487311784,"S","Before PSM"
"958","No",0.270136305844385,1.25179122442952,-0.744921892461974,"S","Before PSM"
"972","No",-1.00654213933692,0.403092381824982,-0.417916097140268,"S","Before PSM"
"977","No",2.73659853429264,-0.547895893626279,1.40787302281813,"E","Before PSM"
"983","No",-1.06484585003521,1.75702837318676,-2.08179494600021,"S","Before PSM"
"987","No",-2.32146211873754,1.30711998117384,-2.13584787999858,"S","Before PSM"
"991","Yes",0.977663811229372,-0.778034686280455,0.496200829085868,"S","Before PSM"
"992","No",-1.36042716859872,1.47198947882115,-1.88807272012669,"S","Before PSM"
"1080","No",-0.462556087673505,-0.699906505287165,0.281749097605581,"E","Before PSM"
"1083","Yes",-0.488236401226,-1.08185955958717,0.682817100137977,"S","Before PSM"
"1085","No",0.0440464614984901,-0.835875065717449,0.425141280871808,"S","Before PSM"
"1089","No",1.39097435945563,0.45955818365653,0.0305502978304259,"S","Before PSM"
"1090","No",-0.896483652683356,0.970378506842067,-0.561607531894336,"S","Before PSM"
"1095","No",-1.90826375133789,1.3312619805258,-1.73992801746883,"S","Before PSM"
"1099","Yes",0.800812254025455,-1.20534331905973,0.758644383921022,"S","Before PSM"
"1107","Yes",0.677019195896942,-0.898839670547527,0.396235615970161,"S","Before PSM"
"1109","No",-0.974130976187425,1.05707767199285,-0.119156599035101,"S","Before PSM"
"1112","No",-0.566853937284593,1.22525770739411,-0.750308419243088,"S","Before PSM"
"1114","Yes",0.432192121591844,-0.203349429695776,0.71390375045947,"S","Before PSM"
"1117","Yes",0.657645263948837,-0.679185203697613,-0.493824533869151,"S","Before PSM"
"1125","No",-0.0827481917205692,1.78472252281121,-1.09057764915294,"S","Before PSM"
"1128","Yes",0.387228833518228,-0.889970769867184,0.867891465218829,"S","Before PSM"
"1129","Yes",1.22931269255845,-0.759086909826953,1.0370294205575,"E","Before PSM"
"1130","No",-0.739885282555079,1.43131136570069,0.182377315406443,"S","Before PSM"
"1142","Yes",1.65399291915802,-0.773254710913779,1.10448780679925,"E","Before PSM"
"1158","No",2.02779762492984,-0.326841221668954,0.866466216607277,"E","Before PSM"
"1160","No",1.45446264349215,-0.986823602296862,0.873501162601048,"E","Before PSM"
"1161","Yes",0.362306498523951,0.508019152374019,-0.994989623054278,"S","Before PSM"
"1179","No",-0.85297568344152,1.83459236663678,-2.42567548200058,"S","Before PSM"
"1185","No",0.985122320242255,1.04084194824739,1.10978303651628,"S","Before PSM"
"1206","No",-1.16029051008628,1.16513163528177,-1.31241937076514,"S","Before PSM"
"1208","No",-1.11775275339897,1.37368773628032,-1.27544405981004,"S","Before PSM"
"1230","No",1.27706534172631,-0.65072210151418,0.770061588990949,"E","Before PSM"
"1242","No",-0.684098060670079,1.1058288307326,-0.60231587835872,"S","Before PSM"
"1250","No",-0.376419404317369,1.76888969909666,-0.755989125452921,"S","Before PSM"
"1252","No",0.466088922715452,-0.778670911329261,0.445875858537703,"E","Before PSM"
"1259","No",0.0790044326036033,-1.38189513260319,0.932073301271729,"E","Before PSM"
"1262","No",0.685326640895037,-0.642326225870124,0.74115085203019,"E","Before PSM"
"1274","No",1.24231960461751,-1.0039494036106,0.777796479142735,"E","Before PSM"
"1286","Yes",0.695695787571489,1.04048775322022,0.23647589793685,"E","Before PSM"
"1287","No",0.547829330433906,1.70139833391933,-0.638641965746958,"S","Before PSM"
"1292","No",-0.428447052553599,1.32290588488479,-1.25392838504031,"S","Before PSM"
"1296","Yes",1.54514719819761,0.21394178231505,1.51606511581985,"S","Before PSM"
"1302","No",0.678535153013384,-0.79179066233569,0.282028060856937,"E","Before PSM"
"1316","Yes",0.457084137443793,-0.383975378551773,0.408007865178226,"S","Before PSM"
"1327","Yes",-0.351648665034736,-1.39431618355602,0.731047310271285,"E","Before PSM"
"1330","No",2.6473996175613,-0.454052061427425,0.523808046853829,"E","Before PSM"
"1334","Yes",1.25193077273574,-0.567048945095529,-0.204894686330654,"S","Before PSM"
"1336","Yes",-0.384453977034505,-0.396791552034914,0.393035146668004,"S","Before PSM"
